@RELATION	w_kl_m100_n100
@ATTRIBUTE	0	REAL
@ATTRIBUTE	1	REAL
@ATTRIBUTE	2	REAL
@ATTRIBUTE	3	REAL
@ATTRIBUTE	4	REAL
@ATTRIBUTE	5	REAL
@ATTRIBUTE	6	REAL
@ATTRIBUTE	7	REAL
@ATTRIBUTE	8	REAL
@ATTRIBUTE	9	REAL
@ATTRIBUTE	10	REAL
@ATTRIBUTE	11	REAL
@ATTRIBUTE	12	REAL
@ATTRIBUTE	13	REAL
@ATTRIBUTE	14	REAL
@ATTRIBUTE	15	REAL
@ATTRIBUTE	16	REAL
@ATTRIBUTE	17	REAL
@ATTRIBUTE	18	REAL
@ATTRIBUTE	19	REAL
@ATTRIBUTE	20	REAL
@ATTRIBUTE	21	REAL
@ATTRIBUTE	22	REAL
@ATTRIBUTE	23	REAL
@ATTRIBUTE	24	REAL
@ATTRIBUTE	25	REAL
@ATTRIBUTE	26	REAL
@ATTRIBUTE	27	REAL
@ATTRIBUTE	28	REAL
@ATTRIBUTE	29	REAL
@ATTRIBUTE	30	REAL
@ATTRIBUTE	31	REAL
@ATTRIBUTE	32	REAL
@ATTRIBUTE	33	REAL
@ATTRIBUTE	34	REAL
@ATTRIBUTE	35	REAL
@ATTRIBUTE	36	REAL
@ATTRIBUTE	37	REAL
@ATTRIBUTE	38	REAL
@ATTRIBUTE	39	REAL
@ATTRIBUTE	40	REAL
@ATTRIBUTE	41	REAL
@ATTRIBUTE	42	REAL
@ATTRIBUTE	43	REAL
@ATTRIBUTE	44	REAL
@ATTRIBUTE	45	REAL
@ATTRIBUTE	46	REAL
@ATTRIBUTE	47	REAL
@ATTRIBUTE	48	REAL
@ATTRIBUTE	49	REAL
@ATTRIBUTE	50	REAL
@ATTRIBUTE	51	REAL
@ATTRIBUTE	52	REAL
@ATTRIBUTE	53	REAL
@ATTRIBUTE	54	REAL
@ATTRIBUTE	55	REAL
@ATTRIBUTE	56	REAL
@ATTRIBUTE	57	REAL
@ATTRIBUTE	58	REAL
@ATTRIBUTE	59	REAL
@ATTRIBUTE	60	REAL
@ATTRIBUTE	61	REAL
@ATTRIBUTE	62	REAL
@ATTRIBUTE	63	REAL
@ATTRIBUTE	64	REAL
@ATTRIBUTE	65	REAL
@ATTRIBUTE	66	REAL
@ATTRIBUTE	67	REAL
@ATTRIBUTE	68	REAL
@ATTRIBUTE	69	REAL
@ATTRIBUTE	70	REAL
@ATTRIBUTE	71	REAL
@ATTRIBUTE	72	REAL
@ATTRIBUTE	73	REAL
@ATTRIBUTE	74	REAL
@ATTRIBUTE	75	REAL
@ATTRIBUTE	76	REAL
@ATTRIBUTE	77	REAL
@ATTRIBUTE	78	REAL
@ATTRIBUTE	79	REAL
@ATTRIBUTE	80	REAL
@ATTRIBUTE	81	REAL
@ATTRIBUTE	82	REAL
@ATTRIBUTE	83	REAL
@ATTRIBUTE	84	REAL
@ATTRIBUTE	class	{1,2}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1
